"variavel","tipo"
"protocolo","nome velho"
"responsavel","nome velho"
"data_do_pedido","nome velho"
"pedido","nome velho"
"data_da_resposta","nome velho"
"resposta","nome velho"
"anexo","nome velho"
"recurso_prim","nome velho"
"data_recurso_prim","nome velho"
"resposta_recurso_prim","nome velho"
"data_resposta_recurso_prim","nome velho"
"recurso_seg","nome velho"
"data_recurso_seg","nome velho"
"resposta_recurso_seg","nome velho"
"data_resposta_recurso_seg","nome velho"
"esfera","nome velho"
"poder","nome velho"
"orgao","nome velho"
"nao_e_pedido_de_info","nome velho"
"contem_dados_pessoais","nome velho"
"nome_da_pasta_anexo","nome velho"
"nome_do_anexo_mais_extensao","nome velho"
"responsavel","nome novo"
"esfera","nome novo"
"poder","nome novo"
"orgao","nome novo"
"protocolo","nome novo"
"assunto","nome novo"
"outros","nome novo"
"atendimento","nome novo"
"nao_e_pedido_de_informacao","nome novo"
"contem_dados_pessoais","nome novo"
"pedido_pasta_do_anexo_pedido","nome novo"
"anexo_com_extensao_pedido","nome novo"
"resposta","nome novo"
"pasta_do_anexo_resposta","nome novo"
"anexo_com_extensao_resposta","nome novo"
"recurso_1","nome novo"
"pasta_do_anexo_recurso_1","nome novo"
"anexo_com_extensao_recurso_1","nome novo"
"resposta_recurso_1","nome novo"
"pasta_do_anexo_resposta_recurso_1","nome novo"
"anexo_com_extensao_resposta_recurso_1","nome novo"
"recurso_2","nome novo"
"pasta_do_anexo_recurso_2","nome novo"
"anexo_com_extensao_recurso_2","nome novo"
